,downsample,final_acc,avg_acc,total_training_time,avg_training_time,I_distilled
0,0.0,87.38,85.97462500000003,556.0492210388184,6.950615262985229,-4.680831677428111e-06
1,0.01,87.27000000000001,86.03150000000001,550.1380858421326,6.876726073026657,-4.687119870305942e-06
2,0.02,87.41,86.02462500000001,548.8542873859406,6.860678592324257,-4.6942493162561864e-06
3,0.05,86.79,85.87562500000001,528.3685548305511,6.60460693538189,-4.876501922015034e-06
4,0.1,86.64,85.452375,346.28143310546875,4.328517913818359,-6.549466219750599e-06
5,0.15,85.92999999999999,84.873375,201.530109167099,2.5191263645887374,-1.0639187182945253e-05
6,0.2,85.36,84.30425,130.254727602005,1.6281840950250626,-1.8751244107535523e-05
7,0.25,84.45,83.73375000000001,87.7133584022522,1.0964169800281525,-3.468662505072962e-05
8,0.3,83.27,82.91612500000001,62.01260280609131,0.7751575350761414,-6.770942859700188e-05
9,0.35,81.78999999999999,81.752,48.423699378967285,0.6052962422370911,-0.00013155952493972394
10,0.4,78.64,79.09737500000001,41.815019369125366,0.5226877421140671,-0.0002613675700884193
11,0.45,67.0,71.088875,39.378024101257324,0.49222530126571656,-0.0007712451828460121
