,downsample,final_acc,avg_acc,total_training_time,avg_training_time,I_distilled
0,0.0,93.31,92.86626666666668,269.41326570510864,1.7960884380340576,-1.6990458758312583e-05
1,0.01,94.22,92.83139999999995,155.35237741470337,1.0356825160980225,-3.3103961809589565e-05
2,0.02,93.25,92.70226666666665,144.90757131576538,0.9660504754384359,-3.633944352514267e-05
3,0.05,92.93,92.28846666666665,115.74194359779358,0.7716129573186239,-5.015981348866146e-05
4,0.1,91.03999999999999,91.93739999999998,88.63120889663696,0.5908747259775797,-7.737889842339905e-05
5,0.15,90.91,91.67173333333332,70.54085350036621,0.47027235666910805,-0.00011848745921443611
6,0.2,92.47,91.63613333333333,57.8987500667572,0.3859916671117147,-0.00018647871595313544
7,0.25,90.60000000000001,91.16053333333332,48.88481092453003,0.3258987394968669,-0.0003085271030021038
8,0.3,90.63,90.81166666666665,44.133697271347046,0.294224648475647,-0.0004951743776268064
9,0.35,88.98,89.37660000000002,41.4091534614563,0.2760610230763753,-0.0007440438797202112
10,0.4,81.38,84.89673333333332,39.77417206764221,0.26516114711761474,-0.001517231834003972
11,0.45,63.849999999999994,75.06966666666668,40.47268033027649,0.26981786886850995,-0.003642710773195959
