,acc_test_teacher,acc_test_student,acc_test_distilled,time_train_teacher,time_train_student,time_train_distilled,time_test_teacher,time_test_student,time_test_distilled
64,83.02000000000001,78.55,82.47,0.45565104484558105,0.2982625961303711,1.3455495834350586,0.18809056282043457,0.06388568878173828,0.26911091804504395
65,85.38,78.3,82.76,0.4440805912017822,0.29752182960510254,1.3389286994934082,0.1936190128326416,0.0632014274597168,0.26685380935668945
66,84.99,78.41,83.39,0.4470713138580322,0.29239630699157715,1.3421111106872559,0.1921367645263672,0.09114623069763184,0.2667722702026367
67,84.89999999999999,78.36999999999999,82.14,0.4410731792449951,0.2926621437072754,1.3600921630859375,0.18704533576965332,0.058646440505981445,0.27298545837402344
68,82.42,79.3,82.28,0.43947792053222656,0.30942869186401367,1.3390369415283203,0.1948840618133545,0.05838155746459961,0.27372121810913086
69,85.08,78.45,82.78999999999999,0.44236302375793457,0.29650187492370605,1.3303906917572021,0.20088553428649902,0.0584263801574707,0.26761722564697266
70,84.27,77.71000000000001,83.05,0.4401531219482422,0.2925715446472168,1.3314356803894043,0.19266700744628906,0.05858922004699707,0.27480053901672363
71,84.77,79.52,82.69999999999999,0.4428722858428955,0.30425095558166504,1.3241138458251953,0.18298602104187012,0.056908369064331055,0.2727036476135254
72,85.14,77.8,83.0,0.44120001792907715,0.2952544689178467,1.3308651447296143,0.19455718994140625,0.07431697845458984,0.26927947998046875
73,83.89999999999999,79.65,83.89999999999999,0.44742774963378906,0.29178380966186523,1.3231816291809082,0.18106985092163086,0.07039237022399902,0.2714669704437256
74,84.06,77.95,83.89,0.4415707588195801,0.2942190170288086,1.32088041305542,0.1906280517578125,0.058431386947631836,0.2706029415130615
75,85.2,77.48,83.17999999999999,0.4322957992553711,0.29419589042663574,1.3176376819610596,0.1822652816772461,0.06438279151916504,0.27342915534973145
76,84.7,78.64,82.84,0.441478967666626,0.2899007797241211,1.3151774406433105,0.18331694602966309,0.05862569808959961,0.27165985107421875
77,84.5,77.68,83.46000000000001,0.4366295337677002,0.29254627227783203,1.3129839897155762,0.18372178077697754,0.06447696685791016,0.27155208587646484
78,84.72,79.10000000000001,83.33,0.4318838119506836,0.29475998878479004,1.3038651943206787,0.17640900611877441,0.058409929275512695,0.2717268466949463
79,84.31,77.51,83.81,0.44287991523742676,0.3016073703765869,1.327995777130127,0.18275141716003418,0.06492185592651367,0.26949214935302734
80,85.38,77.97,83.33,0.4325566291809082,0.290560245513916,1.30515456199646,0.18284964561462402,0.05868959426879883,0.26647353172302246
81,83.95,78.45,83.84,0.4290032386779785,0.2906486988067627,1.3024961948394775,0.17847180366516113,0.05867338180541992,0.27362728118896484
82,84.19,77.42999999999999,82.89999999999999,0.4309523105621338,0.297565221786499,1.3111767768859863,0.1846787929534912,0.05779433250427246,0.272982120513916
83,83.41,77.95,83.7,0.42733049392700195,0.29100608825683594,1.3014898300170898,0.18575406074523926,0.0642240047454834,0.27120256423950195
84,84.04,79.06,83.69,0.4341390132904053,0.29018425941467285,1.2956507205963135,0.18562054634094238,0.05836200714111328,0.26985859870910645
85,83.62,77.63,83.49,0.43181300163269043,0.29126715660095215,1.3015258312225342,0.18494057655334473,0.07640290260314941,0.26955509185791016
86,84.68,78.13,83.89999999999999,0.4398517608642578,0.29792308807373047,1.3063089847564697,0.18351459503173828,0.06575441360473633,0.2702755928039551
87,84.46000000000001,79.01,83.26,0.435823917388916,0.3021390438079834,1.2982447147369385,0.18105006217956543,0.07324838638305664,0.26724839210510254
88,84.74000000000001,76.66,83.36,0.44121670722961426,0.29385876655578613,1.2998993396759033,0.17886567115783691,0.06494760513305664,0.26874828338623047
89,84.6,77.31,84.27,0.43216776847839355,0.29529762268066406,1.2859055995941162,0.19578337669372559,0.0639193058013916,0.2713034152984619
90,83.88,77.60000000000001,84.73,0.4437274932861328,0.29340243339538574,1.295231580734253,0.18779230117797852,0.0648505687713623,0.26984500885009766
91,84.35000000000001,77.89,83.5,0.43752384185791016,0.2949247360229492,1.292837142944336,0.1865394115447998,0.06326484680175781,0.2735872268676758
92,84.09,78.19,83.8,0.4347388744354248,0.3003847599029541,1.2966735363006592,0.19556307792663574,0.06455087661743164,0.2756779193878174
93,84.65,78.10000000000001,84.53,0.43552660942077637,0.30187106132507324,1.28997802734375,0.18677520751953125,0.05843329429626465,0.27434611320495605
94,85.14,79.0,84.78,0.4320347309112549,0.2967820167541504,1.2910313606262207,0.187225341796875,0.06400203704833984,0.27077293395996094
95,84.36,78.46,84.56,0.4275484085083008,0.30035877227783203,1.2826237678527832,0.19175410270690918,0.058443307876586914,0.27071404457092285
96,84.47,76.14,83.66,0.4364755153656006,0.29392218589782715,1.284083604812622,0.18715190887451172,0.06242942810058594,0.2738056182861328
97,84.55,76.99000000000001,84.54,0.43683409690856934,0.29779481887817383,1.2854712009429932,0.18869709968566895,0.05872488021850586,0.26989078521728516
98,85.0,79.2,83.88,0.43709826469421387,0.29122495651245117,1.2905387878417969,0.19225645065307617,0.062378883361816406,0.2711777687072754
99,84.87,77.4,84.33,0.43723392486572266,0.2987935543060303,1.2857868671417236,0.18570399284362793,0.06514167785644531,0.2705373764038086
100,84.78,78.22,84.89,0.4412386417388916,0.2962777614593506,1.2802979946136475,0.1799616813659668,0.06514716148376465,0.27198362350463867
101,85.22,76.22,84.61999999999999,0.44357752799987793,0.2998964786529541,1.2731800079345703,0.1762993335723877,0.07636880874633789,0.2704613208770752
102,84.04,78.9,84.91,0.4282693862915039,0.28935837745666504,1.2759666442871094,0.18701696395874023,0.0635981559753418,0.27135586738586426
103,84.39,77.68,83.78,0.42978787422180176,0.29719996452331543,1.2790403366088867,0.1867983341217041,0.06318354606628418,0.26983642578125
104,84.67,77.75999999999999,84.61,0.42593812942504883,0.2938046455383301,1.275571346282959,0.19173431396484375,0.06422948837280273,0.27106356620788574
105,84.77,78.45,83.04,0.4390687942504883,0.2953782081604004,1.2715063095092773,0.18094301223754883,0.05732369422912598,0.27304768562316895
106,84.33,78.34,84.37,0.43007636070251465,0.2939157485961914,1.274765968322754,0.19304347038269043,0.05791926383972168,0.2741527557373047
107,85.00999999999999,78.95,84.13000000000001,0.438657283782959,0.2918088436126709,1.2901124954223633,0.19097161293029785,0.06336355209350586,0.27663111686706543
