,downsample,final_acc,avg_acc,total_training_time,avg_training_time,I_distilled
0,0.0,92.61,91.76733333333337,91.0231683254242,1.0113685369491576,-3.2248049565225304e-05
1,0.01,92.97999999999999,91.5691111111111,62.8809859752655,0.6986776219473945,-5.258584819305531e-05
2,0.02,92.71000000000001,91.47099999999999,60.03252601623535,0.6670280668470595,-5.631527962683478e-05
3,0.05,93.41000000000001,91.36522222222219,53.36072278022766,0.5928969197803073,-6.69532451711295e-05
4,0.1,92.84,90.43933333333334,43.40093183517456,0.482232575946384,-9.260169151853805e-05
5,0.15,91.51,90.40111111111112,35.6764452457428,0.39640494717492,-0.00012977967136100656
6,0.2,93.02,90.28977777777777,30.045966625213623,0.3338440736134847,-0.0001819900602317179
7,0.25,89.8,89.87655555555553,24.944422483444214,0.2771602498160468,-0.00027750898522917167
8,0.3,91.64,89.6981111111111,21.894752264022827,0.24327502515580918,-0.000415565087626693
9,0.35,87.99,88.82811111111108,19.97775912284851,0.22197510136498344,-0.0006118838746212062
10,0.4,83.22,85.85033333333337,18.652835607528687,0.20725372897254096,-0.0009920607351127319
11,0.45,79.7,82.11488888888887,17.982874155044556,0.1998097128338284,-0.002073512410025507
