,downsample,final_acc,avg_acc,total_training_time,avg_training_time,I_distilled
0,0.0,95.47,94.9029,345.2807228565216,3.452807228565216,-1.1664860095631857e-05
1,0.01,95.38,94.94990000000001,174.06292581558228,1.7406292581558227,-2.1032351026687587e-05
2,0.02,95.54,94.85100000000004,159.56491446495056,1.5956491446495056,-2.332345139684073e-05
3,0.05,95.27,94.7245,122.93165183067322,1.2293165183067323,-3.241253053142788e-05
4,0.1,95.17999999999999,94.65339999999998,83.68182826042175,0.8368182826042175,-5.3379010776757625e-05
5,0.15,95.1,94.414,60.007787227630615,0.6000778722763062,-8.639157057177896e-05
6,0.2,94.45,94.26370000000004,45.53882646560669,0.4553882646560669,-0.0001378281765583498
7,0.25,94.69999999999999,94.08350000000002,34.55123043060303,0.34551230430603025,-0.00024299874802046357
8,0.3,93.74,93.38500000000003,29.29175877571106,0.2929175877571106,-0.00039099430065398535
9,0.35,91.79,92.20039999999997,26.44679832458496,0.26446798324584964,-0.0006153768147348025
10,0.4,88.89,89.5898,24.48792791366577,0.24487927913665772,-0.001075712736289453
