,downsample,final_acc,avg_acc,total_training_time,avg_training_time,I_distilled
0,0.0,85.18,82.92473333333332,157.0821499824524,1.0472143332163493,-3.2248049565225304e-05
1,0.01,84.06,82.82559999999998,157.19278144836426,1.0479518763224285,-3.2352518030007106e-05
2,0.02,83.77,82.74780000000005,157.07626748085022,1.0471751165390015,-3.239750573936325e-05
3,0.05,84.32,82.66986666666662,153.50682139396667,1.023378809293111,-3.359839345527519e-05
4,0.1,83.69,81.98053333333338,127.8514232635498,0.8523428217569987,-4.35925925256343e-05
5,0.15,81.36,81.00393333333336,97.51857542991638,0.6501238361994426,-6.552485952761528e-05
6,0.2,81.27,80.29566666666666,73.40156126022339,0.4893437417348226,-0.00010380584062747529
7,0.22,79.82000000000001,80.00853333333333,64.56541967391968,0.4304361311594645,-0.00013114428100079162
8,0.25,78.27,79.32539999999997,54.9993212223053,0.3666621414820353,-0.00018036443772765447
9,0.3,76.73,77.82506666666664,41.82147002220154,0.27880980014801027,-0.0003576533937891189
10,0.35,74.13,75.66199999999999,36.38525390625,0.242568359375,-0.0006649294087197286
11,0.4,64.69,70.00620000000002,33.67796611785889,0.22451977411905924,-0.0015659097038582838
