,downsample,final_acc,avg_acc,total_training_time,avg_training_time,mutual_information
0,0.0,95.6,94.96690000000002,365.9346659183502,3.659346659183502,574.4990091338454
1,0.01,95.54,94.87820000000002,184.19257879257202,1.8419257879257203,259.2697410709367
2,0.02,96.1,95.02130000000001,165.81357407569885,1.6581357407569886,220.05285642918426
3,0.05,95.47,94.76899999999999,129.70606994628906,1.2970606994628906,142.17965878421057
4,0.1,95.02000000000001,94.43590000000002,90.12679362297058,0.9012679362297058,71.49653303122389
5,0.15,94.84,94.31510000000002,65.74843168258667,0.6574843168258667,34.992262483955194
6,0.2,94.63000000000001,94.07650000000005,50.44266629219055,0.5044266629219055,16.481716832896613
7,0.25,94.17,93.73210000000003,38.15591907501221,0.38155919075012207,6.003016075183655
8,0.3,94.28,93.3624,33.82645344734192,0.3382645344734192,2.602347486630997
9,0.35,92.86,92.6485,30.91878914833069,0.3091878914833069,0.826279225055607
