,acc_test_teacher,acc_test_student,acc_test_distilled,time_train_teacher,time_train_student,time_train_distilled,time_test_teacher,time_test_student,time_test_distilled
0,91.09,89.67,91.09,3.073150396347046,0.33159899711608887,3.073150396347046,1.4259271621704102,0.05512356758117676,1.4259271621704102
1,91.23,90.8,91.23,2.5703115463256836,0.28551459312438965,2.5703115463256836,1.413945198059082,0.05571603775024414,1.413945198059082
2,93.67,91.95,93.67,2.4515767097473145,0.2803075313568115,2.4515767097473145,1.4625437259674072,0.060150861740112305,1.4625437259674072
3,93.96,91.72,93.96,2.389131546020508,0.2807180881500244,2.389131546020508,1.4412217140197754,0.0565037727355957,1.4412217140197754
4,94.01,92.36999999999999,94.01,2.3777759075164795,0.26998233795166016,2.3777759075164795,1.4513258934020996,0.055348873138427734,1.4513258934020996
5,92.73,92.41,92.73,2.2999379634857178,0.26685428619384766,2.2999379634857178,1.4667384624481201,0.057825326919555664,1.4667384624481201
6,94.62,93.2,94.62,2.2779905796051025,0.26749277114868164,2.2779905796051025,1.4623358249664307,0.060331106185913086,1.4623358249664307
7,93.82000000000001,93.08,93.82000000000001,2.2562789916992188,0.26266932487487793,2.2562789916992188,1.445847511291504,0.05880022048950195,1.445847511291504
8,94.76,93.19,94.76,2.246831178665161,0.26006436347961426,2.246831178665161,1.4535892009735107,0.060379981994628906,1.4535892009735107
9,95.13000000000001,93.23,95.13000000000001,2.20959210395813,0.2594752311706543,2.20959210395813,1.475893259048462,0.05776071548461914,1.475893259048462
10,94.86,92.96,94.86,2.206399440765381,0.26050829887390137,2.206399440765381,1.4681522846221924,0.05871438980102539,1.4681522846221924
11,95.25,93.58,95.25,2.1947202682495117,0.25566983222961426,2.1947202682495117,1.4779553413391113,0.05667567253112793,1.4779553413391113
12,94.33,93.47999999999999,94.33,2.203580617904663,0.25568461418151855,2.203580617904663,1.4692878723144531,0.05641579627990723,1.4692878723144531
13,95.28,93.78,95.28,2.1404402256011963,0.253659725189209,2.1404402256011963,1.4641520977020264,0.05644106864929199,1.4641520977020264
14,95.12,93.28999999999999,95.12,2.178150177001953,0.25414204597473145,2.178150177001953,1.4711580276489258,0.057190895080566406,1.4711580276489258
15,95.09,93.56,95.09,2.1521315574645996,0.255704402923584,2.1521315574645996,1.4646244049072266,0.05761384963989258,1.4646244049072266
16,94.59,93.31,94.59,2.1566929817199707,0.24808573722839355,2.1566929817199707,1.4628486633300781,0.05528903007507324,1.4628486633300781
17,94.72,93.74,94.72,2.1226065158843994,0.25251102447509766,2.1226065158843994,1.465122938156128,0.0567476749420166,1.465122938156128
18,95.73,93.15,95.73,2.1400606632232666,0.251023530960083,2.1400606632232666,1.4824202060699463,0.05582451820373535,1.4824202060699463
19,95.27,93.49,95.27,2.120535135269165,0.2546851634979248,2.120535135269165,1.4904544353485107,0.05783486366271973,1.4904544353485107
20,95.24000000000001,93.92,91.49000000000001,2.095914363861084,0.2501668930053711,3.103959321975708,1.4668760299682617,0.05608820915222168,0.5791730880737305
21,95.30999999999999,93.7,93.16,2.1031620502471924,0.25127339363098145,2.796973705291748,1.4689395427703857,0.057274580001831055,0.5933654308319092
22,94.91000000000001,94.07,93.72,2.093034505844116,0.24744939804077148,2.7138235569000244,1.4765174388885498,0.05665922164916992,0.6118357181549072
23,95.49,94.75,94.39999999999999,2.11454439163208,0.2508726119995117,2.6749796867370605,1.4909136295318604,0.05789542198181152,0.6243813037872314
24,95.41,93.28,94.27,2.1023504734039307,0.24488353729248047,2.6641228199005127,1.46104097366333,0.06653428077697754,0.6213836669921875
25,95.59,92.80000000000001,94.58,2.110409736633301,0.2446610927581787,2.6459829807281494,1.4723844528198242,0.05741119384765625,0.631727933883667
26,95.61,94.61,94.74000000000001,2.100389003753662,0.24506664276123047,2.664104461669922,1.4786829948425293,0.0575258731842041,0.6289968490600586
27,95.33,94.14,94.62,2.0858519077301025,0.24608278274536133,2.633812189102173,1.4825630187988281,0.05595898628234863,0.6201803684234619
28,95.1,94.06,94.58,2.067257881164551,0.25299501419067383,2.6138927936553955,1.469935655593872,0.05717134475708008,0.6275694370269775
29,95.24000000000001,93.92,94.96,2.084613084793091,0.24673128128051758,2.615144968032837,1.4723596572875977,0.055831193923950195,0.6430439949035645
30,95.37,93.67999999999999,94.89,2.0710995197296143,0.2511630058288574,2.6096513271331787,1.4659814834594727,0.056326866149902344,0.6399710178375244
31,95.74000000000001,94.04,94.56,2.0594537258148193,0.24944329261779785,2.6162891387939453,1.472515344619751,0.06096959114074707,0.6388247013092041
32,95.7,93.63,94.15,2.063199758529663,0.24040460586547852,2.598221778869629,1.4819374084472656,0.05610918998718262,0.6261255741119385
33,95.26,94.32000000000001,94.92,2.063857316970825,0.24635601043701172,2.6043121814727783,1.4781684875488281,0.056517839431762695,0.633817195892334
34,95.44,94.16,94.59,2.0822806358337402,0.24714159965515137,2.5934667587280273,1.4893522262573242,0.05929231643676758,0.6376199722290039
35,94.85,94.42,95.05,2.060659170150757,0.24409770965576172,2.602071762084961,1.4881772994995117,0.058370351791381836,0.6352989673614502
36,95.58,94.07,95.23,2.076380729675293,0.24365854263305664,2.592820405960083,1.4877815246582031,0.055654287338256836,0.6477353572845459
37,96.03,94.36,95.44,2.0460381507873535,0.24473118782043457,2.572284460067749,1.4773128032684326,0.057950735092163086,0.6492288112640381
38,95.97,94.27,95.48,2.0471246242523193,0.2471299171447754,2.5990755558013916,1.476633071899414,0.05705881118774414,0.6383581161499023
39,96.0,94.19999999999999,95.36,2.0565764904022217,0.24606108665466309,2.5871362686157227,1.492241621017456,0.06081700325012207,0.6478970050811768
40,95.38,94.19,95.15,2.0619425773620605,0.24695706367492676,2.580669403076172,1.4672257900238037,0.06020998954772949,0.6454808712005615
41,95.6,93.17999999999999,95.27,2.054821252822876,0.2484149932861328,2.5791242122650146,1.4824459552764893,0.05762934684753418,0.6483218669891357
42,95.37,94.17999999999999,95.42,2.051802635192871,0.24739313125610352,2.5766003131866455,1.4881048202514648,0.060007572174072266,0.6662101745605469
43,96.24000000000001,93.89,95.36,2.027928590774536,0.24267053604125977,2.584686040878296,1.4640171527862549,0.05798697471618652,0.660348653793335
44,95.86,94.67,95.16,2.028459310531616,0.2494068145751953,2.5899314880371094,1.4790196418762207,0.05987405776977539,0.6510770320892334
45,95.53,94.17,95.0,2.045318365097046,0.24244284629821777,2.57035231590271,1.4620027542114258,0.059963226318359375,0.6598997116088867
46,96.23,93.97,95.3,2.0325236320495605,0.2512240409851074,2.570497751235962,1.4968500137329102,0.05796933174133301,0.6673214435577393
47,95.72,93.51,95.35,2.0463030338287354,0.2554495334625244,2.5741899013519287,1.4911115169525146,0.06277346611022949,0.6510980129241943
48,95.76,94.35,95.37,2.043037176132202,0.2650642395019531,2.5842158794403076,1.4928295612335205,0.06345367431640625,0.6443493366241455
49,96.06,94.25,95.28999999999999,2.0392608642578125,0.24992012977600098,2.5675008296966553,1.492931842803955,0.05915069580078125,0.6653099060058594
50,95.94,94.44,95.35,2.036600112915039,0.250812292098999,2.5958189964294434,1.4819419384002686,0.06171774864196777,0.6625299453735352
51,95.96000000000001,94.53,95.11,2.0356454849243164,0.24848484992980957,2.576763391494751,1.480860948562622,0.06412243843078613,0.6608197689056396
52,96.02000000000001,93.73,95.89,2.015084743499756,0.25659704208374023,2.578705310821533,1.4774951934814453,0.05763578414916992,0.6597273349761963
53,96.35000000000001,94.33,95.30999999999999,2.025977611541748,0.2460923194885254,2.576352119445801,1.4735691547393799,0.05804896354675293,0.6555583477020264
54,96.13000000000001,94.02000000000001,95.61,2.0175137519836426,0.25020933151245117,2.574671745300293,1.4906384944915771,0.0581209659576416,0.6642870903015137
55,96.37,94.24,95.07,2.0250511169433594,0.2564859390258789,2.569021701812744,1.492842674255371,0.06079888343811035,0.651054859161377
56,95.94,94.25,95.35,2.0089545249938965,0.2519841194152832,2.5570921897888184,1.4748733043670654,0.05781817436218262,0.6458885669708252
57,95.7,93.93,95.52000000000001,2.0395610332489014,0.24644732475280762,2.5721304416656494,1.4929852485656738,0.07188224792480469,0.654714822769165
58,95.71,94.36,95.08,2.0251283645629883,0.2512686252593994,2.585571765899658,1.4813501834869385,0.0585782527923584,0.66375732421875
59,95.93,94.58,95.30999999999999,2.0025570392608643,0.254025936126709,2.5597267150878906,1.4999494552612305,0.061537981033325195,0.6685757637023926
60,95.97,94.37,95.78,2.0276684761047363,0.24545741081237793,2.566141128540039,1.4689967632293701,0.05583047866821289,0.670297384262085
61,95.25,94.12,95.28,2.0352118015289307,0.25405168533325195,2.555375576019287,1.4850428104400635,0.056255340576171875,0.6690585613250732
62,95.69,94.69,95.39,2.0345897674560547,0.2494664192199707,2.5741147994995117,1.4730257987976074,0.06284046173095703,0.655348539352417
63,96.06,94.33,95.28,2.0265932083129883,0.25744128227233887,2.5797390937805176,1.4758682250976562,0.08616280555725098,0.6717910766601562
64,96.27,94.19,95.81,2.0130615234375,0.25110483169555664,2.576359748840332,1.4866845607757568,0.05846834182739258,0.6730368137359619
65,96.16,94.28999999999999,95.61,2.0167367458343506,0.2507362365722656,2.5598723888397217,1.4996654987335205,0.05808544158935547,0.6631145477294922
66,95.44,93.95,95.24000000000001,2.023499011993408,0.250873327255249,2.5716640949249268,1.4878771305084229,0.058370351791381836,0.665931224822998
67,96.05,93.96,95.88,2.007739782333374,0.2454667091369629,2.56491756439209,1.489530086517334,0.05628681182861328,0.6603024005889893
68,96.0,94.24,95.46,2.0190749168395996,0.24669194221496582,2.5684235095977783,1.4892549514770508,0.060988426208496094,0.6659135818481445
69,95.82000000000001,94.13,95.43,2.010806083679199,0.2445375919342041,2.59228777885437,1.4924805164337158,0.059743642807006836,0.6667511463165283
70,96.07,93.78,95.63000000000001,2.015510320663452,0.2456960678100586,2.5836734771728516,1.4937713146209717,0.055532217025756836,0.6669535636901855
71,95.66,94.38,95.33,2.0396921634674072,0.24161720275878906,2.5605263710021973,1.4840948581695557,0.05625462532043457,0.6601433753967285
72,95.71,94.19999999999999,95.57,2.010816812515259,0.24062895774841309,2.566801071166992,1.4851558208465576,0.0569608211517334,0.6669642925262451
73,96.15,94.75,95.72,2.015110492706299,0.2433781623840332,2.5728394985198975,1.4853651523590088,0.05844473838806152,0.6684267520904541
74,96.33,94.72,95.09,1.9999194145202637,0.23941636085510254,2.5628602504730225,1.488429307937622,0.05915212631225586,0.6604647636413574
75,96.11,95.03,95.53,2.0206689834594727,0.24414730072021484,2.5717623233795166,1.4958865642547607,0.05803346633911133,0.6680643558502197
76,96.05,94.52000000000001,95.57,2.0023720264434814,0.2402667999267578,2.571502685546875,1.4759204387664795,0.057445526123046875,0.6569952964782715
77,96.22,94.56,95.77,2.016876697540283,0.24303197860717773,2.569303035736084,1.488558053970337,0.05646228790283203,0.6634666919708252
78,96.2,94.54,95.65,2.0050127506256104,0.24521517753601074,2.569805383682251,1.4844520092010498,0.05612468719482422,0.6762003898620605
79,95.86,94.81,95.61,2.0221633911132812,0.24471497535705566,2.556830644607544,1.4830024242401123,0.05969738960266113,0.6733834743499756
80,95.61,94.54,95.45,2.0238287448883057,0.24411273002624512,2.5721137523651123,1.488215446472168,0.0567326545715332,0.6645445823669434
81,95.85000000000001,94.48,95.74000000000001,2.004345655441284,0.24389934539794922,2.5626184940338135,1.5011308193206787,0.0568385124206543,0.6684079170227051
82,96.11,94.64,95.74000000000001,2.015707492828369,0.24491310119628906,2.5714690685272217,1.4806556701660156,0.0665290355682373,0.6699280738830566
83,95.97,94.91000000000001,95.35,2.022116184234619,0.2453627586364746,2.5751967430114746,1.5004172325134277,0.057566165924072266,0.675095796585083
84,95.8,94.11,95.91,2.0263447761535645,0.23900103569030762,2.5679194927215576,1.4943621158599854,0.05618119239807129,0.6673829555511475
