,downsample,final_acc,avg_acc,total_training_time,avg_training_time,mi_true_distilled
0,0.0,95.59,94.9557,685.8958041667938,6.858958041667938,2.047043533935263
1,0.01,95.02000000000001,94.95689999999999,266.35317754745483,2.6635317754745484,0.004795421435727488
2,0.02,95.25,94.88799999999999,237.94630527496338,2.379463052749634,0.0035775621226559087
3,0.05,95.39999999999999,94.7427,181.47155952453613,1.8147155952453613,0.00424360114580641
4,0.1,95.00999999999999,94.583,127.40865302085876,1.2740865302085878,0.00327317286768111
5,0.15,94.69999999999999,94.41460000000001,95.01612257957458,0.9501612257957458,0.0036636367138029357
6,0.2,94.14,94.16609999999999,73.55884075164795,0.7355884075164795,0.0033732502857237935
7,0.25,94.05,93.95909999999996,58.072105884552,0.58072105884552,0.003024759381418168
8,0.3,93.91000000000001,93.69880000000003,50.75738215446472,0.5075738215446473,0.003542345333271473
9,0.35,93.55,92.84000000000002,48.101327657699585,0.48101327657699583,0.004263554223571293
10,0.4,91.99000000000001,92.045,45.877673864364624,0.45877673864364626,0.004656242041105368
