,downsample,final_acc,avg_acc,total_training_time,avg_training_time,mi_true_distilled
0,0.0,59.85,59.437777777777775,161.12197494506836,1.790244166056315,0.8727074360014659
1,0.01,60.45,59.42055555555556,141.9343602657318,1.57704844739702,0.02125399337346931
2,0.02,60.050000000000004,59.57111111111113,141.07735776901245,1.5675261974334718,0.020852879330795777
3,0.05,62.0,59.80111111111113,139.21571922302246,1.5468413247002495,0.026748618394780228
4,0.1,59.95,59.33388888888888,135.7470190525055,1.5083002116945055,0.01862737632646348
5,0.15,60.099999999999994,58.99277777777778,128.2962498664856,1.4255138874053954,0.022094619216141954
6,0.2,60.650000000000006,58.467222222222226,118.22964835166931,1.3136627594629924,0.01879434338327705
7,0.25,59.550000000000004,57.89833333333335,110.16000843048096,1.2240000936720106,0.02843955440147042
8,0.3,58.699999999999996,57.74166666666669,103.15841794013977,1.1462046437793307,0.016604725127850564
9,0.35,57.699999999999996,57.37722222222219,97.07189321517944,1.0785765912797716,0.017765404131252834
10,0.4,57.699999999999996,56.050555555555555,92.64879059791565,1.0294310066435073,0.020364745278025606
11,0.45,53.25,52.946666666666665,89.97705221176147,0.9997450245751275,0.01516195899912961
