,downsample,final_acc,avg_acc,total_training_time,avg_training_time,I_distilled
0,0.0,63.9,61.03222222222223,245.35652899742126,2.726183655526903,-4.036604372785758e-06
1,0.01,63.3,61.11166666666668,185.8412733078003,2.0649030367533365,-5.451316305792015e-06
2,0.02,62.35000000000001,61.11000000000003,183.48469591140747,2.038718843460083,-5.572825727371506e-06
3,0.05,61.7,60.910000000000025,179.97154760360718,1.9996838622623019,-5.790234757243971e-06
4,0.1,61.9,61.04666666666669,171.93661832809448,1.9104068703121608,-6.313902255628737e-06
5,0.15,62.0,60.883888888888904,155.60880661010742,1.7289867401123047,-7.923009419381247e-06
6,0.2,62.4,60.41166666666666,137.52157378196716,1.5280174864663019,-1.1166634838683017e-05
7,0.25,62.45,59.929999999999986,125.11753916740417,1.390194879637824,-1.586352911775986e-05
8,0.3,59.45,59.3572222222222,115.39567732810974,1.2821741925345527,-2.3092416404965337e-05
9,0.35,59.550000000000004,59.10888888888891,105.84488248825073,1.1760542498694526,-3.847874404961263e-05
10,0.4,57.599999999999994,57.05777777777779,99.02262926101685,1.1002514362335205,-6.85370707556001e-05
11,0.45,55.60000000000001,54.14944444444442,93.33353042602539,1.0370392269558377,-0.00016642261537471904
